patrick	hdca_c	4.3.2.10	R00256, R04558	cid69421	[[[["hdca_c", 1], ["nh4_c", 1]], [["cid69421", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["hdca_c", 1]], [["cid69421", 1], ["prlp_c", 1]]]]
patrick	hdca_c	6.3.5.4	R00256, R00578	cid69421	[[[["hdca_c", 1], ["nh4_c", 1]], [["cid69421", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["hdca_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid69421", 1], ["h2o_c", 1]]]]
patrick	hxa_c	2.6.1.85	R01716	cid12332	[[[["4adcho_c", 1], ["hxa_c", 1]], [["chor_c", 1], ["cid12332", 1]]]]
patrick	hxa_c	4.3.2.10	R00256, R04558	cid12332	[[[["hxa_c", 1], ["nh4_c", 1]], [["cid12332", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["hxa_c", 1]], [["cid12332", 1], ["prlp_c", 1]]]]
patrick	hxa_c	6.3.5.4	R00256, R00578	cid12332	[[[["hxa_c", 1], ["nh4_c", 1]], [["cid12332", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["hxa_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid12332", 1], ["h2o_c", 1]]]]
patrick	lipoate_c	2.6.1.85	R01716	C00248	[[[["4adcho_c", 1], ["lipoate_c", 1]], [["C00248", 1], ["chor_c", 1]]]]
patrick	lipoate_c	4.3.2.10	R00256, R04558	C00248	[[[["lipoate_c", 1], ["nh4_c", 1]], [["C00248", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["lipoate_c", 1]], [["C00248", 1], ["prlp_c", 1]]]]
patrick	lipoate_c	6.3.5.4	R00256, R00578	C00248	[[[["lipoate_c", 1], ["nh4_c", 1]], [["C00248", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["lipoate_c", 1], ["ppi_c", 1]], [["C00248", 1], ["asp__L_c", 1], ["atp_c", 1], ["h2o_c", 1]]]]
patrick	mal__D_c, mal__L_c	6.3.5.4	R00483, R00578	cid106688	[[[["atp_c", 1], ["mal__D_c", 1], ["nh4_c", 1]], [["amp_c", 1], ["cid106688", 1], ["ppi_c", 1]]], [[["atp_c", 1], ["mal__L_c", 1], ["nh4_c", 1]], [["amp_c", 1], ["cid106688", 1], ["ppi_c", 1]]], [[["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1], ["mal__D_c", 1]], [["amp_c", 1], ["cid106688", 1], ["glu__D_c", 1], ["ppi_c", 1]]], [[["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1], ["mal__D_c", 1]], [["amp_c", 1], ["cid106688", 1], ["glu__L_c", 1], ["ppi_c", 1]]], [[["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1], ["mal__L_c", 1]], [["amp_c", 1], ["cid106688", 1], ["glu__D_c", 1], ["ppi_c", 1]]], [[["atp_c", 1], ["gln__L_c", 1], ["h2o_c", 1], ["mal__L_c", 1]], [["amp_c", 1], ["cid106688", 1], ["glu__L_c", 1], ["ppi_c", 1]]]]
patrick	ocdca_c	2.6.1.85	R01716	C13846	[[[["4adcho_c", 1], ["ocdca_c", 1]], [["C13846", 1], ["chor_c", 1]]]]
patrick	ocdca_c	4.3.2.10	R00256, R04558	C13846	[[[["nh4_c", 1], ["ocdca_c", 1]], [["C13846", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["ocdca_c", 1]], [["C13846", 1], ["prlp_c", 1]]]]
patrick	ocdca_c	6.3.5.4	R00256, R00578	C13846	[[[["nh4_c", 1], ["ocdca_c", 1]], [["C13846", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["ocdca_c", 1], ["ppi_c", 1]], [["C13846", 1], ["asp__L_c", 1], ["atp_c", 1], ["h2o_c", 1]]]]
patrick	ocdcea_c	2.6.1.85	R01716	C19670	[[[["4adcho_c", 1], ["ocdcea_c", 1]], [["C19670", 1], ["chor_c", 1]]]]
patrick	ocdcea_c	4.3.2.10	R00256, R04558	C19670	[[[["nh4_c", 1], ["ocdcea_c", 1]], [["C19670", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["ocdcea_c", 1]], [["C19670", 1], ["prlp_c", 1]]]]
patrick	ocdcea_c	6.3.5.4	R00256, R00578	C19670	[[[["nh4_c", 1], ["ocdcea_c", 1]], [["C19670", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["ocdcea_c", 1], ["ppi_c", 1]], [["C19670", 1], ["asp__L_c", 1], ["atp_c", 1], ["h2o_c", 1]]]]
patrick	octa_c	2.6.1.85	R01716	cid144027364	[[[["4adcho_c", 1], ["octa_c", 1]], [["chor_c", 1], ["cid144027364", 1]]]]
patrick	octa_c	4.3.2.10	R00256, R04558	cid144027364	[[[["nh4_c", 1], ["octa_c", 1]], [["cid144027364", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["octa_c", 1]], [["cid144027364", 1], ["prlp_c", 1]]]]
patrick	octa_c	6.3.5.4	R00256, R00578	cid144027364	[[[["nh4_c", 1], ["octa_c", 1]], [["cid144027364", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["octa_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid144027364", 1], ["h2o_c", 1]]]]
patrick	pnto__R_c	2.6.1.85	R01716	cid23618825	[[[["4adcho_c", 1], ["pnto__R_c", 1]], [["chor_c", 1], ["cid23618825", 1]]]]
patrick	pnto__R_c	4.3.2.10	R00256, R04558	cid23618825	[[[["nh4_c", 1], ["pnto__R_c", 1]], [["cid23618825", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["pnto__R_c", 1]], [["cid23618825", 1], ["prlp_c", 1]]]]
patrick	pnto__R_c	6.3.5.4	R00256, R00578	cid23618825	[[[["nh4_c", 1], ["pnto__R_c", 1]], [["cid23618825", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["pnto__R_c", 1], ["ppi_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid23618825", 1], ["h2o_c", 1]]]]
patrick	pppn_c	2.6.1.85	R01716	cid101557084	[[[["4adcho_c", 1], ["pppn_c", 1]], [["chor_c", 1], ["cid101557084", 1]]]]
patrick	pppn_c	4.3.2.10	R00256, R04558	cid101557084	[[[["nh4_c", 1], ["pppn_c", 1]], [["cid101557084", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["pppn_c", 1]], [["cid101557084", 1], ["prlp_c", 1]]]]
patrick	pppn_c	6.3.5.4	R00256, R00578	cid101557084	[[[["nh4_c", 1], ["pppn_c", 1]], [["cid101557084", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1], ["pppn_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid101557084", 1], ["h2o_c", 1]]]]
patrick	prfp_c	4.3.2.10	R04558	aicar_c	[[[["gln__L_c", 1], ["prfp_c", 1]], [["aicar_c", 1], ["eig3p_c", 1], ["glu__D_c", 1]]], [[["gln__L_c", 1], ["prfp_c", 1]], [["aicar_c", 1], ["eig3p_c", 1], ["glu__L_c", 1]]]]
patrick	prlp_c	4.3.2.10	R04558	aicar_c	[[[["gln__L_c", 1], ["prlp_c", 1]], [["aicar_c", 1], ["eig3p_c", 1], ["glu__D_c", 1]]], [[["gln__L_c", 1], ["prlp_c", 1]], [["aicar_c", 1], ["eig3p_c", 1], ["glu__L_c", 1]]]]
patrick	pyr_c	2.6.1.66	R01215	ala__L_c, ala__D_c	[[[["pyr_c", 1], ["val__L_c", 1]], [["3mob_c", 1], ["ala__L_c", 1]]], [[["pyr_c", 1], ["val__L_c", 1]], [["3mob_c", 1], ["ala__D_c", 1]]]]
patrick	sucarg_c	2.6.1.85	R01716	cid88357959	[[[["4adcho_c", 1], ["sucarg_c", 1]], [["chor_c", 1], ["cid88357959", 1]]]]
patrick	sucarg_c	4.3.2.10	R00256, R04558	cid88357959	[[[["nh4_c", 1], ["sucarg_c", 1]], [["cid88357959", 1], ["h2o_c", 1]]], [[["aicar_c", 1], ["eig3p_c", 1], ["sucarg_c", 1]], [["cid88357959", 1], ["prlp_c", 1]]]]
patrick	sucarg_c	6.3.5.4	R00256, R00578	cid88357959	[[[["nh4_c", 1], ["sucarg_c", 1]], [["cid88357959", 1], ["h2o_c", 1]]], [[["amp_c", 1], ["asn__L_c", 1], ["ppi_c", 1], ["sucarg_c", 1]], [["asp__L_c", 1], ["atp_c", 1], ["cid88357959", 1], ["h2o_c", 1]]]]
